0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1/26/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
1/27/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
1/28/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
1/29/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
1/30/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/2/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/3/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/4/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/5/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/6/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/9/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/10/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/11/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/12/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/13/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/17/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/18/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/19/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/20/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/23/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/24/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/25/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/26/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
2/27/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/1/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/2/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/3/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/4/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/5/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/8/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/9/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/10/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
3/11/2004,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009,3/17/2010,6/16/2010,9/15/2010,12/15/2010,3/16/2011,6/15/2011,9/21/2011,12/21/2011,3/21/2012,6/20/2012,9/19/2012,12/19/2012,3/20/2013,6/19/2013,9/18/2013,12/18/2013
